id,popularity,vote_average,vote_count
238,87.259,8.7,16607.0
278,74.45,8.7,22327.0
240,53.295,8.6,10043.0
19404,39.465,8.6,3875.0
424,51.786,8.6,13238.0
667257,11.519,8.5,269.0
129,98.981,8.5,13359.0
372058,140.708,8.5,9073.0
389,31.99,8.5,6673.0
496243,83.701,8.5,14416.0
724089,11.886,8.5,1437.0
696374,12.04,8.5,2286.0
497,67.037,8.5,14412.0
372754,14.004,8.5,257.0
155,117.409,8.5,28278.0
553512,23.651,8.5,365.0
730154,36.005,8.5,351.0
680,57.669,8.5,23795.0
429,47.402,8.5,6865.0
122,195.456,8.5,20202.0
13,73.926,8.5,23335.0
761053,32.477,8.5,988.0
769,38.136,8.5,10499.0
11216,25.748,8.5,3458.0
346,19.643,8.5,2785.0
637,45.626,8.5,11331.0
12477,0.6,8.4,4305.0
311,32.527,8.4,4337.0
14537,14.35,8.4,672.0
539,47.806,8.4,8413.0
550,72.305,8.4,24817.0
40096,9.556,8.4,918.0
510,22.84,8.4,8846.0
704264,60.358,8.4,239.0
598,42.57,8.4,6005.0
255709,19.018,8.4,429.0
652837,81.777,8.4,265.0
324857,112.486,8.4,11767.0
92321,0.6,8.4,838.0
378064,100.236,8.4,3112.0
4935,84.469,8.4,7617.0
18491,38.254,8.4,1147.0
283566,64.168,8.4,555.0
1891,29.579,8.4,14573.0
795607,14.813,8.4,206.0
568300,10.944,8.4,383.0
120,190.651,8.4,21524.0
599,17.314,8.4,2033.0
423,36.73,8.4,7505.0
3782,12.095,8.4,825.0
20334,12.377,8.4,538.0
157336,135.637,8.4,29378.0
244786,63.889,8.4,12566.0
762975,186.954,8.4,1500.0
121,182.675,8.4,18677.0
73,34.395,8.4,9842.0
441130,25.784,8.4,828.0
567,21.447,8.4,5333.0
361743,1645.58,8.4,3887.0
27205,101.063,8.4,32301.0
901,16.788,8.4,1701.0
533514,95.942,8.4,272.0
807,62.657,8.4,17643.0
12493,14.727,8.4,613.0
914,19.646,8.4,2705.0
128,45.236,8.4,6534.0
644479,12.294,8.4,474.0
632632,47.883,8.3,329.0
274,11.891,8.3,13701.0
630566,21.686,8.3,875.0
635302,601.25,8.3,2702.0
207,36.811,8.3,9389.0
101,44.945,8.3,12465.0
3082,11.799,8.3,3046.0
25237,19.049,8.3,989.0
527641,76.52,8.3,4903.0
335,21.079,8.3,3506.0
105,55.821,8.3,16976.0
447362,70.935,8.3,1147.0
618344,45.787,8.3,1220.0
975,14.539,8.3,2265.0
556574,15.077,8.3,1014.0
16672,11.935,8.3,302.0
15804,10.999,8.3,206.0
10494,24.568,8.3,1805.0
28,24.514,8.3,6727.0
29259,11.625,8.3,340.0
10376,20.284,8.3,1899.0
299534,175.265,8.3,21795.0
265177,11.63,8.3,2358.0
537061,41.246,8.3,687.0
572154,62.876,8.3,405.0
637920,42.893,8.3,4002.0
18148,9.654,8.3,790.0
42269,7.371,8.3,437.0
670,29.624,8.3,6936.0
522924,27.409,8.3,1107.0
77338,81.948,8.3,14980.0
299536,310.562,8.3,25430.0
290098,46.323,8.3,2828.0
508965,26.933,8.3,3051.0
1585,29.733,8.3,3430.0
518068,91.036,8.3,393.0
8587,214.097,8.3,15744.0
476292,56.391,8.3,485.0
797,13.646,8.3,1687.0
791373,245.703,8.3,8149.0
110420,45.568,8.3,1848.0
592350,169.369,8.3,966.0
24188,9.559,8.3,586.0
504253,69.982,8.3,1076.0
823754,10.724,8.2,264.0
532067,107.431,8.2,415.0
5156,15.079,8.2,1905.0
490132,41.156,8.2,9369.0
755812,177.873,8.2,934.0
575813,26.603,8.2,267.0
37257,12.298,8.2,1027.0
422,14.084,8.2,1843.0
31414,19.704,8.2,200.0
313106,11.728,8.2,656.0
354912,284.64,8.2,16148.0
10098,14.638,8.2,1642.0
2457,9.77,8.2,303.0
284,20.832,8.2,1776.0
664767,48.3,8.2,1128.0
185,39.843,8.2,10964.0
1398,18.505,8.2,1638.0
694,61.87,8.2,14856.0
490,14.293,8.2,2415.0
26451,8.023,8.2,611.0
610892,47.096,8.2,270.0
20532,11.892,8.2,272.0
531428,24.546,8.2,1874.0
16869,78.734,8.2,19211.0
426,25.582,8.2,4745.0
11,79.744,8.2,17705.0
470044,34.845,8.2,1815.0
98,62.435,8.2,15562.0
398818,82.89,8.2,10521.0
629,26.722,8.2,8834.0
1124,34.918,8.2,13419.0
857,57.057,8.2,13442.0
50014,108.004,8.2,6696.0
663558,72.196,8.2,300.0
77,34.339,8.2,12609.0
399106,13.93,8.2,1396.0
11324,60.864,8.2,20468.0
324786,272.261,8.2,11442.0
603,66.145,8.2,22099.0
526702,11.584,8.2,274.0
620683,6.68,8.2,428.0
545611,154.368,8.2,1744.0
517814,21.611,8.2,1325.0
508442,137.644,8.2,8403.0
406997,31.633,8.2,7011.0
872,21.97,8.2,2515.0
831827,74.467,8.2,296.0
19,19.414,8.2,2142.0
475557,139.173,8.2,21290.0
133919,5.851,8.2,259.0
289,17.426,8.2,4381.0
103,38.821,8.2,9788.0
400608,8.202,8.2,298.0
472454,11.333,8.2,277.0
11878,17.533,8.2,1096.0
705,9.919,8.2,1242.0
606856,52.314,8.2,1590.0
439,17.392,8.2,1535.0
20914,7.379,8.2,599.0
111,87.527,8.2,9602.0
1422,38.482,8.2,12736.0
992,11.197,8.2,703.0
100,9.491,8.2,5587.0
666,12.099,8.2,688.0
68718,59.867,8.2,23034.0
895,11.251,8.2,596.0
600354,23.43,8.2,2268.0
55823,7.125,8.2,297.0
654299,17.088,8.1,298.0
548,15.685,8.1,1715.0
500,34.12,8.1,12217.0
17663,15.531,8.1,205.0
600,46.542,8.1,8786.0
996,10.169,8.1,1412.0
